Name of movie,Year of release,Watchtime,Genre,Classification,Movie Rating,Metascore,Votes,Gross collection,Des,id,keywords
"10,000 BC",2008,109,"Action, Adventure, Drama",PG-13,5.1,34,"135,290","269,784,201","In the prehistoric past, D'Leh is a mammoth hunter who bonds with the beautiful Evolet. When warriors on horseback capture Evolet and the tribesmen, D'Leh must embark on an odyssey to save his true love.",7840,"indigenous, lover (female), pyramid, mammoth, sapient, mountain village, stone age, fighter, primitive time, saber-toothed tiger"
Slumdog Millionaire,2008,120,"Crime, Drama, Romance",R,8,84,"875,728","378,410,542","A teenager from the slums of Mumbai becomes a contestant on the show 'Kaun Banega Crorepati?' When interrogated under suspicion of cheating, he revisits his past, revealing how he had all the answers.",12405,"slum, indian lead, cheating, suspicion, game show, orphan, duringcreditsstinger"
You Don't Mess with the Zohan,2008,113,"Action, Comedy",PG-13,5.6,54,"213,512","204,313,400",An Israeli Special Forces Soldier fakes his death so he can re-emerge in New York City as a hair stylist.,10661,"new york, israel, middle east, hairdresser, ladykiller, mossad, israeli, palestinian, heart-throb, middle east conflict, hairstyle, hacky sack"
The Chronicles of Narnia: Prince Caspian,2008,150,"Action, Adventure, Family",PG,6.5,62,"224,716","419,665,568","The Pevensie siblings return to Narnia, where they are enlisted to once again help ward off an evil king and restore the rightful heir to the land's throne, Prince Caspian.",2454,"based on novel, fictional place, brother sister relationship, lion, human being, wretch, leap in time, matter of life and death, faith, uncle, narnia, fantasy world"
The Curious Case of Benjamin Button,2008,166,"Drama, Fantasy, Romance",PG-13,7.8,70,"693,590","335,802,786","Tells the story of Benjamin Button, a man who starts aging backwards with consequences.",4922,"diary, navy, funeral, tea, travel, hospital"
The Dark Knight,2008,152,"Action, Crime, Drama",PG-13,9,84,"2,857,573","1,007,336,937","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",155,"dc comics, crime fighter, secret identity, scarecrow, sadism, chaos, gotham city, vigilante, joker, superhero, based on comic, tragic hero, organized crime, criminal mastermind, district attorney, imax, super villain, super powers, batman"
Horton Hears a Who!,2008,86,"Animation, Adventure, Comedy",G,6.8,71,"149,866","298,572,799",Horton the Elephant struggles to protect a microscopic community from his neighbors who refuse to believe it exists.,12222,"elephant, rescue, jungle"
Yes Man,2008,104,"Comedy, Romance",PG-13,6.8,46,"382,051","223,241,637","A man challenges himself to say ""yes"" to everything.",10201,"bungee-jump, scooter"
Get Smart,2008,110,"Action, Adventure, Comedy",PG-13,6.5,54,"228,166","230,685,453","Maxwell Smart, a highly intellectual but bumbling spy working for the CONTROL agency, is tasked with preventing a terrorist attack from rival spy agency KAOS.",11665,"dancing, spy, terrorist, traitor, airplane, violin, based on tv series, legs"
WALL·E,2008,98,"Animation, Adventure, Family",G,8.4,95,"1,195,328","521,311,890","In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",10681,romantic comedy
Jumper,2008,88,"Action, Adventure, Sci-Fi",PG-13,6.1,35,"322,686","225,132,113",A young man with teleportation abilities suddenly finds himself in the middle of an ancient war between those like him and their sworn annihilators.,8247,"adolescence, based on novel, loss of child, fight, chase, teleportation, supernatural powers, leap in time, enemy, motherly love"
Journey to the Center of the Earth,2008,93,"Action, Adventure, Family",PG,5.8,57,"131,274","244,232,688","On a quest to find out what happened to his missing brother, a scientist, his nephew and their mountain guide discover a fantastic and dangerous lost world in the center of the earth.",88751,"volcano, prehistoric, dinosaur, prehistoric creature, 3d"
Bolt,2008,96,"Animation, Adventure, Comedy",PG,6.8,67,"228,021","309,979,994",The canine star of a fictional sci-fi/action show that believes his powers are real embarks on a cross country trek to save his co-star from a threat he believes is just as real.,13053,"hamster, kids and family, animal, cat vs dog, duringcreditsstinger, dog cat friendship, animal lead, girl dog relationship"
Welcome to the Sticks,2008,106,"Comedy, Romance",Not Rated,7.1,,"44,842","245,144,417","A French public servant from Provence is banished to the far North. Strongly prejudiced against this cold and inhospitable place, he leaves his family behind to relocate temporarily there, with the firm intent to quickly come back.",8265,"clock tower, jealousy, cheating, provence, lie, southern france, postman, flush, mama's boy, bias, local speciality, job transfer, northern france, disabled, dialect"
Taken,2008,90,"Action, Crime, Thriller",PG-13,7.7,51,"632,450","226,837,760","A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.",8681,"paris, kidnapping, human trafficking, rescue, prostitution, albanian, missing daughter, ex cia agent"
The Day the Earth Stood Still,2008,104,"Adventure, Drama, Sci-Fi",PG-13,5.5,40,"178,169","233,093,859",A remake of the 1951 classic science fiction film about an alien visitor and his giant robot counterpart who visit Earth.,10200,"extraterrestrial technology, spacecraft, ultimatum, evacuation, panic, government, remake, ufo, alien, end of the world, giant robot, tank, social commentary, power outage, interrogation, environmentalism, threat, alien contact, central park, messenger, nanobots, disintegration"
